MatrixID,SpeciesAccepted,Authors,YearPublication
238601,Frasera speciosa,Che-Castaldo; Inouye,2011
238602,Frasera speciosa,Che-Castaldo; Inouye,2011
238603,Frasera speciosa,Che-Castaldo; Inouye,2011
238604,Frasera speciosa,Che-Castaldo; Inouye,2011
238605,Frasera speciosa,Che-Castaldo; Inouye,2011
238606,Frasera speciosa,Che-Castaldo; Inouye,2011
238607,Frasera speciosa,Che-Castaldo; Inouye,2011
238608,Frasera speciosa,Che-Castaldo; Inouye,2011
238609,Frasera speciosa,Che-Castaldo; Inouye,2011
238610,Frasera speciosa,Che-Castaldo; Inouye,2011
238611,Frasera speciosa,Che-Castaldo; Inouye,2011
238612,Frasera speciosa,Che-Castaldo; Inouye,2011
238613,Frasera speciosa,Che-Castaldo; Inouye,2011
238614,Frasera speciosa,Che-Castaldo; Inouye,2011
238615,Frasera speciosa,Che-Castaldo; Inouye,2011
238616,Frasera speciosa,Che-Castaldo; Inouye,2011
238617,Frasera speciosa,Che-Castaldo; Inouye,2011
238618,Frasera speciosa,Che-Castaldo; Inouye,2011
238619,Frasera speciosa,Che-Castaldo; Inouye,2011
238620,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238621,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238622,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238623,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238624,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238625,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238626,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238627,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238628,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238629,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238630,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238631,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238632,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238633,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238634,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238635,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238636,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238637,Geranium sylvaticum,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2011
238638,Geum reptans,Weppler; Stoll; Stocklin,2006
238639,Geum reptans,Weppler; Stoll; Stocklin,2006
238640,Geum reptans,Weppler; Stoll; Stocklin,2006
238641,Geum reptans,Weppler; Stoll; Stocklin,2006
238642,Geum reptans,Weppler; Stoll; Stocklin,2006
238643,Geum reptans,Weppler; Stoll; Stocklin,2006
238644,Geum reptans,Weppler; Stoll; Stocklin,2006
238645,Guaiacum sanctum,CITES,2008
238646,Guaiacum sanctum,CITES,2008
238647,Guaiacum sanctum,CITES,2008
238648,Heteropsis flexuosa,Balcazar,2013
238649,Heteropsis macrophylla,Balcazar,2013
238650,Heteropsis oblongifolia,Balcazar,2013
